"prompt","try_num","domains","products","honest_score","score_justifications"
"BUSINESS_CONTEXT_SMART_WORKER_PROMPT","1","*","*","92","Output follows all required rules: 10 core business processes generated for empty field, 20 distinct non-overlapping data domains within the 15-25 target range, comprehensive 100+ business jargons covering all required categories (technical identifiers, metrics, system abbreviations, regulatory terms, protocols), 15 operational systems with module-level detail as required, and extensive governing bodies including cross-industry standards (SOX, PCI DSS, privacy laws). All values are comma-separated strings as required. Industry alignment preserved as provided. The systems listed are industry-standard for health insurance payers though specific implementations at Healthcare may vary - this is acknowledged as acceptable per the rules. Minor uncertainty exists around exact internal system configurations which is inherent to the task."
"DOMAINS_SMART_WORKER_PROMPT","1","*","*","95","All requirements satisfied: 18 distinct domains covering the provided data domains, interleaved operations and business, corporate limited to 20%, each domain one‑word singular, descriptions include key jargon, references to relevant industry standards, and standards list provided. No technical or analytics domains included."
"DOMAINS_SMART_WORKER_PROMPT","2","*","*","92","Output is comprehensive with 20 domains covering all major health insurance payer functions. Strong adherence to organization divisions model with 11 operations (55%), 6 business (30%), and 3 corporate (15%) domains meeting the 80/20 rule. SSOT principles maintained with clear domain ownership (member for parties, product for offerings, billing for revenue, claim for transactions). All domains align with provided business context data domains and core processes. Domain names follow singular, one-word convention with industry-standard terminology. Minor consideration: fraud domain is operational case management focused (acceptable per rules), and the 20-domain count is at the lower end of the 15-25 range but provides complete business coverage. All mandatory fields present, no rule violations detected."
"DOMAINS_SMART_WORKER_PROMPT","3","*","*","92","All rules followed: domain count 17 within 15-25, interleaved operations/business, SSOT enforced, no analytics or technical domains, supporting quota respected, all data domains mapped, domain names valid and business-specific."
"DOMAINS_SMART_WORKER_PROMPT","4","*","*","92","Output is comprehensive with 20 domains covering all major business areas for a health insurance payer. All domains align with provided data domains and core business processes. Division classification follows the interleaved operations/business model with 11 operations (55%), 6 business (30%), and 3 corporate (15%), meeting the 80%+ operations+business requirement. SSOT principle maintained with member as party SSOT, product as catalog SSOT, and billing as revenue SSOT. All domain names are single-word, singular, SQL-compliant, and industry-standard. No analytics/reporting domains included. Descriptions incorporate industry jargon appropriately (COB, EOB, HCC, RAF, HEDIS, etc.). Minor consideration: credentialing could arguably be merged with provider domain, but industry practice treats credentialing as a distinct operational function with separate teams, so keeping it separate is defensible. All validation rules followed."
"DOMAINS_SELECTION_JUDGE_PROMPT","1","*","*","93","Final output contains 21 domains within the 15-25 range requirement. All domains align with provided business context data domains and core processes. SSOT principles strictly maintained - no overlapping ownership of business concepts. Division classification follows interleaved model with appropriate operations/business/corporate distribution. All domain names are single-word, singular, SQL-compliant, and pass the 'department name test'. No analytics, reporting, or technical infrastructure domains included per rules. Industry-standard terminology used throughout (HCC, RAF, HEDIS, COB, etc.). Standards list comprehensive with 9 key regulatory bodies. Source attribution provided for all domains enabling traceability. The government domain addition addresses a gap in Claude models' outputs for this significant LOB. Minor deduction for potential debate on eligibility vs enrollment separation, but the distinction is defensible based on different EDI transactions (834 vs 270/271) and operational teams."
"PRODUCTS_SMART_WORKER_PROMPT","1","eligibility","*","92","All major sub‑areas of the eligibility domain (real‑time verification, coverage master, rule sets, status codes, COBRA, terminations, history, coordination of benefits, plan‑benefit mapping, queues, and audits) are represented. No duplicate or technical tables were created, and division balance meets the >80% operations/business requirement. Coverage is comprehensive; only a few very niche edge cases (e.g., temporary waivers) were omitted as they are handled within existing rule tables."
"PRODUCTS_SMART_WORKER_PROMPT","2","provider","*","95","All major sub‑areas of the provider domain are covered: master provider profile, identifiers, locations, specialties, taxonomy, network affiliation, contracts, fee schedules, status history, service areas, quality metrics, referral relationships, schedules, group practices, termination events, communication preferences, and credentialing summary. No core entity is omitted, and each product is uniquely defined with appropriate division, function, and data type."
"PRODUCTS_SMART_WORKER_PROMPT","3","claim","*","92","All major sub‑areas of the claim domain (header, line, status, adjustments, payments, COB, subrogation, denial reasons, appeals, diagnosis/procedure references, classifications, batch processing, audit, events, pricing rules, FWA flags, payment schedules) are represented. No required entity appears missing, and each product follows naming, division, function, and data_type rules."
"PRODUCTS_SMART_WORKER_PROMPT","4","quality","*","92","All major sub‑areas of the quality domain (measure definitions, results, surveys, member/provider satisfaction, accreditation, improvement plans, alerts, regulatory reporting, clinical metrics, star ratings, complaints, governance, and data quality) are represented with appropriate master, reference, and transactional products. No duplicate or technical tables were created, naming follows conventions, and each product has a clear business purpose. Coverage is exhaustive for a health‑payer quality domain, so a high honesty score is justified."
